Target,Target_Namespace,Target_Type,Target_Method,Job_Id,Job_AnalyzeLaunchVariance,Job_EvaluateOverhead,Job_MaxAbsoluteError,Job_MaxRelativeError,Job_MinInvokeCount,Job_MinIterationTime,Job_OutlierMode,Job_Affinity,Job_EnvironmentVariables,Job_Jit,Job_LargeAddressAware,Job_Platform,Job_PowerPlanMode,Job_Runtime,Job_AllowVeryLargeObjects,Job_Concurrent,Job_CpuGroups,Job_Force,Job_HeapAffinitizeMask,Job_HeapCount,Job_NoAffinitize,Job_RetainVm,Job_Server,Job_Arguments,Job_BuildConfiguration,Job_Clock,Job_EngineFactory,Job_NuGetReferences,Job_Toolchain,Job_IsMutator,Job_InvocationCount,Job_IterationCount,Job_IterationTime,Job_LaunchCount,Job_MaxIterationCount,Job_MaxWarmupIterationCount,Job_MemoryRandomization,Job_MinIterationCount,Job_MinWarmupIterationCount,Job_RunStrategy,Job_UnrollFactor,Job_WarmupCount,Job_Display,Params,Measurement_LaunchIndex,Measurement_IterationMode,Measurement_IterationStage,Measurement_IterationIndex,Measurement_Nanoseconds,Measurement_Operations,Measurement_Value,Gen_0,Gen_1,Gen_2,Allocated_Bytes
MemoryCacheVsConcurrentLru.MemoryCache,ConcurrentDictionaryBenchmark,MemoryCacheVsConcurrentLru,MemoryCache,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,UserSize=200000&CacheSize=10000&GetOrAddOperations=1000000&ThreadCount=10&EnableStatistics=False,1,Workload,Actual,21,4972551200,1,4972551200,102,49,10,4684533032
MemoryCacheVsConcurrentLru.MemoryCache,ConcurrentDictionaryBenchmark,MemoryCacheVsConcurrentLru,MemoryCache,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,UserSize=200000&CacheSize=10000&GetOrAddOperations=1000000&ThreadCount=10&EnableStatistics=False,1,Workload,Actual,22,4688922000,1,4688922000,102,49,10,4684533032
MemoryCacheVsConcurrentLru.MemoryCache,ConcurrentDictionaryBenchmark,MemoryCacheVsConcurrentLru,MemoryCache,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,UserSize=200000&CacheSize=10000&GetOrAddOperations=1000000&ThreadCount=10&EnableStatistics=False,1,Workload,Actual,23,5002827800,1,5002827800,102,49,10,4684533032
MemoryCacheVsConcurrentLru.MemoryCache,ConcurrentDictionaryBenchmark,MemoryCacheVsConcurrentLru,MemoryCache,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,UserSize=200000&CacheSize=10000&GetOrAddOperations=1000000&ThreadCount=10&EnableStatistics=False,1,Workload,Actual,24,5427335300,1,5427335300,102,49,10,4684533032
MemoryCacheVsConcurrentLru.MemoryCache,ConcurrentDictionaryBenchmark,MemoryCacheVsConcurrentLru,MemoryCache,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,UserSize=200000&CacheSize=10000&GetOrAddOperations=1000000&ThreadCount=10&EnableStatistics=False,1,Workload,Actual,25,5128677800,1,5128677800,102,49,10,4684533032
MemoryCacheVsConcurrentLru.MemoryCache,ConcurrentDictionaryBenchmark,MemoryCacheVsConcurrentLru,MemoryCache,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,UserSize=200000&CacheSize=10000&GetOrAddOperations=1000000&ThreadCount=10&EnableStatistics=False,1,Workload,Actual,26,5547508400,1,5547508400,102,49,10,4684533032
MemoryCacheVsConcurrentLru.MemoryCache,ConcurrentDictionaryBenchmark,MemoryCacheVsConcurrentLru,MemoryCache,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,UserSize=200000&CacheSize=10000&GetOrAddOperations=1000000&ThreadCount=10&EnableStatistics=False,1,Workload,Actual,27,5286354300,1,5286354300,102,49,10,4684533032
MemoryCacheVsConcurrentLru.MemoryCache,ConcurrentDictionaryBenchmark,MemoryCacheVsConcurrentLru,MemoryCache,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,UserSize=200000&CacheSize=10000&GetOrAddOperations=1000000&ThreadCount=10&EnableStatistics=False,1,Workload,Actual,28,5187601300,1,5187601300,102,49,10,4684533032
MemoryCacheVsConcurrentLru.MemoryCache,ConcurrentDictionaryBenchmark,MemoryCacheVsConcurrentLru,MemoryCache,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,UserSize=200000&CacheSize=10000&GetOrAddOperations=1000000&ThreadCount=10&EnableStatistics=False,1,Workload,Actual,29,4755451900,1,4755451900,102,49,10,4684533032
MemoryCacheVsConcurrentLru.MemoryCache,ConcurrentDictionaryBenchmark,MemoryCacheVsConcurrentLru,MemoryCache,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,UserSize=200000&CacheSize=10000&GetOrAddOperations=1000000&ThreadCount=10&EnableStatistics=False,1,Workload,Actual,30,5028705500,1,5028705500,102,49,10,4684533032
